state,x,y
Andhra Pradesh,-136.0,-109.0
Arunachal Pradesh,264.0,71.0
Assam,207.0,42.0
Bihar,59.0,35.0
Chhattisgarh,-30.0,-18.0
Goa,-230.0,-104.0
Gujarat,-296.0,5.0
Haryana,-152.0,85.0
Himachal Pradesh,-1290.0,122.0
Jharkhand,44.0,4.0
Karnataka,-210.0,-120.0
Kerala,-198.0,-175.0
Madhya Pradesh,-153.0,-1.0
Maharastra,-234.0,-53.0
Manipur,272.0,19.0
Meghalaya,188.0,31.0
Mizoram,252.0,-2.0
Nagaland,292.0,43.0
Odisha,26.0,-41.0
Punjab,-179.0,102.0
Rajasthan,-265.0,51.0
Sikkim,142.0,58.0
Tamil Nadu,-140.0,-165.0
Telangana,-122.0,-68.0
Tripura,226.0,8.0
Uttarakhand,-85.0,99.0
Uttar Pradesh,-68.0,51.0
West Bengal,114.0,-5.0
Andaman & Nicobar,237.0,-156.0
Chandigarh,-130.0,105.0
Daman & Diu,-299.0,-29.0
Delhi,-120.0,76.0
Jammu & Kashmir,-184.0,147.0
Ladakh,-123.0,155.0
Lakshadweep,-299.0,-181.0
Pondicherry,-82.0,-154.0